model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2
Linear Regression,0.3162653292947214,0.4093274411193165,0.4484413137940292,0.3116398959293551,0.39951473535910703,0.4839247199421265
Random Forest,0.19746642157817207,0.268499050532951,0.7626793572004467,0.26519444694358296,0.3534322426571521,0.5961130827461352
