Restaurant ID,City,Country,Latitude,Longitude,region_cluster
6317637,Makati City,Philippines,14.565443,121.027535,0
6304287,Makati City,Philippines,14.553708,121.014101,0
6300002,Mandaluyong City,Philippines,14.581404,121.056831,0
6318506,Mandaluyong City,Philippines,14.585318,121.056475,0
6314302,Mandaluyong City,Philippines,14.58445,121.057508,0
18189371,Mandaluyong City,Philippines,14.583764,121.056314,0
6300781,Pasay City,Philippines,14.53133333,120.9796667,0
6301290,Pasay City,Philippines,14.54,120.9793333,0
6300010,Pasay City,Philippines,14.55299,120.98009,0
6314987,Pasig City,Philippines,14.572041,121.056532,0
6309903,Pasig City,Philippines,14.567689,121.057916,0
6309455,Pasig City,Philippines,14.570849,121.06082,0
6318433,Quezon City,Philippines,14.649503,121.075419,0
6310470,San Juan City,Philippines,14.59345,121.0335917,0
6314605,San Juan City,Philippines,14.59889,121.03811,0
18185059,Santa Rosa,Philippines,14.237082,121.05704,0
18182702,Santa Rosa,Philippines,14.23767897,121.0565874,0
6318213,Tagaytay City,Philippines,14.101834,120.951589,0
18255654,Taguig City,Philippines,14.55436,121.045878,0
6308205,Taguig City,Philippines,14.549337,121.04622,0
6315438,Taguig City,Philippines,14.545858,121.053725,0
6310406,Taguig City,Philippines,14.54565535,121.0534998,0
6600681,Bras�_lia,Brazil,-15.76414167,-47.88178889,2
6601005,Bras�_lia,Brazil,-15.7775,-47.88266667,2
6600292,Bras�_lia,Brazil,-15.75747222,-47.88213611,2
6600441,Bras�_lia,Brazil,-15.75883333,-47.88816667,2
6600970,Bras�_lia,Brazil,-15.83116667,-47.91566667,2
6600379,Bras�_lia,Brazil,-15.831,-47.91566667,2
6600214,Bras�_lia,Brazil,-15.82,-47.9075,2
6601218,Bras�_lia,Brazil,-15.82733333,-47.91016667,2
6600060,Bras�_lia,Brazil,-15.797,-47.89016667,2
6600083,Bras�_lia,Brazil,-15.83133333,-47.92366667,2
6601515,Bras�_lia,Brazil,-15.83716667,-48.019,2
6601361,Bras�_lia,Brazil,-15.839775,-48.01909167,2
6601602,Bras�_lia,Brazil,-15.83483333,-48.01666667,2
6601589,Bras�_lia,Brazil,-15.7865,-47.889,2
6601862,Bras�_lia,Brazil,-15.860621,-47.872359,2
6601595,Bras�_lia,Brazil,-15.83451389,-47.95628333,2
6601158,Bras�_lia,Brazil,-15.82566667,-47.87283333,2
6600427,Bras�_lia,Brazil,-15.819,-47.8685,2
6600116,Bras�_lia,Brazil,-15.720118,-47.885812,2
6601457,Bras�_lia,Brazil,-15.79753056,-47.92102778,2
7303219,Rio de Janeiro,Brazil,-23.0115,-43.377,2
7304307,Rio de Janeiro,Brazil,-22.905293,-43.178826,2
7301215,Rio de Janeiro,Brazil,-22.97207222,-43.18669167,2
7300596,Rio de Janeiro,Brazil,-22.96216667,-43.17583333,2
7300612,Rio de Janeiro,Brazil,-22.96516667,-43.176,2
7300704,Rio de Janeiro,Brazil,-22.98683333,-43.191,2
7300955,Rio de Janeiro,Brazil,-22.973507,-43.227042,2
7300521,Rio de Janeiro,Brazil,-22.98520833,-43.211425,2
7300515,Rio de Janeiro,Brazil,-22.98533333,-43.203,2
7300483,Rio de Janeiro,Brazil,-22.98531944,-43.20520833,2
7301064,Rio de Janeiro,Brazil,-22.966647,-43.219563,2
7304312,Rio de Janeiro,Brazil,-22.99991111,-43.34879167,2
7300004,Rio de Janeiro,Brazil,-22.98416667,-43.227,2
7300868,Rio de Janeiro,Brazil,-22.98516667,-43.22566667,2
7302637,Rio de Janeiro,Brazil,-22.963925,-43.17279167,2
7302140,Rio de Janeiro,Brazil,-22.96337222,-43.17126389,2
7305048,Rio de Janeiro,Brazil,-22.870413,-43.341164,2
7302898,Rio de Janeiro,Brazil,-22.92481389,-43.18736944,2
7302859,Rio de Janeiro,Brazil,-22.91370833,-43.21551111,2
7301700,Rio de Janeiro,Brazil,-22.94783333,-43.16266667,2
6706313,S��o Paulo,Brazil,-23.55066667,-46.64516667,2
6704326,S��o Paulo,Brazil,-23.559,-46.64633333,2
6711179,S��o Paulo,Brazil,-23.55616667,-46.65866667,2
6702797,S��o Paulo,Brazil,-23.55671,-46.657523,2
6700475,S��o Paulo,Brazil,-23.581688,-46.666851,2
6713413,S��o Paulo,Brazil,-23.582135,-46.67511,2
6714340,S��o Paulo,Brazil,-23.585324,-46.683888,2
6710645,S��o Paulo,Brazil,-23.581,-46.67566667,2
6700402,S��o Paulo,Brazil,-23.561568,-46.666041,2
6700846,S��o Paulo,Brazil,-23.571638,-46.657418,2
6702159,S��o Paulo,Brazil,-23.5655,-46.66983333,2
6711666,S��o Paulo,Brazil,-23.59233333,-46.67133333,2
6701257,S��o Paulo,Brazil,-23.56483333,-46.68133333,2
6706211,S��o Paulo,Brazil,-23.54664167,-46.64159444,2
6705858,S��o Paulo,Brazil,-23.545163,-46.643425,2
6701419,S��o Paulo,Brazil,-23.5995,-46.63716667,2
6703956,S��o Paulo,Brazil,-23.622925,-46.698574,2
6709580,S��o Paulo,Brazil,-23.486535,-46.581672,2
6703176,S��o Paulo,Brazil,-23.58516667,-46.63566667,2
6713772,S��o Paulo,Brazil,-23.609207,-46.746958,2
17284404,Albany,United States,31.610387,-84.221535,1
17284203,Albany,United States,31.608743,-84.207095,1
17284105,Albany,United States,31.5772,-84.154,1
17284302,Albany,United States,31.6158,-84.2194,1
17284397,Albany,United States,31.622412,-84.206944,1
17284211,Albany,United States,31.5882,-84.1759,1
17284094,Albany,United States,31.616,-84.2193,1
17284409,Albany,United States,31.6155186,-84.2091458,1
17284139,Albany,United States,31.604905,-84.205718,1
17284403,Albany,United States,31.612121,-84.223278,1
17284145,Albany,United States,31.6156,-84.2191,1
17284150,Albany,United States,31.6104,-84.212,1
17284158,Albany,United States,31.5751,-84.1534,1
17284175,Albany,United States,31.6077,-84.2228,1
17284179,Albany,United States,31.6185,-84.2229,1
17284197,Albany,United States,31.6137,-84.2164,1
17284241,Albany,United States,31.6118,-84.2233,1
17284390,Albany,United States,31.605882,-84.205025,1
17284279,Albany,United States,31.5985,-84.1757,1
17284364,Albany,United States,31.5308,-83.8389,1
16611114,Armidale,Australia,-30.5147169,151.6688792,3
17293281,Athens,United States,33.957999,-83.378273,1
17293301,Athens,United States,33.9535,-83.3654,1
17293409,Athens,United States,33.9652,-83.4293,1
17293163,Athens,United States,33.9259,-83.3389,1
17293228,Athens,United States,33.958198,-83.375523,1
17293880,Athens,United States,33.959392,-83.384004,1
17293169,Athens,United States,33.9584,-83.3797,1
17293186,Athens,United States,33.958112,-83.373596,1
17293180,Athens,United States,33.924275,-83.33995,1
17293205,Athens,United States,33.9415545,-83.3872482,1
17293229,Athens,United States,33.960112,-83.381625,1
17293897,Athens,United States,33.963296,-83.400887,1
17293273,Athens,United States,33.9584,-83.4075,1
17293870,Athens,United States,33.957503,-83.379251,1
17293877,Athens,United States,33.960571,-83.383605,1
17293890,Athens,United States,33.959468,-83.37967,1
17293915,Athens,United States,33.937502,-83.38728,1
17293422,Athens,United States,33.9584,-83.3764,1
17293873,Athens,United States,33.958363,-83.378881,1
17294014,Athens,United States,33.9600227,-83.3828224,1
17294556,Augusta,United States,33.4721,-82.0865,1
17294607,Augusta,United States,33.4791,-82.0698,1
17294279,Augusta,United States,33.4765,-81.97,1
17294300,Augusta,United States,33.474,-81.9684,1
17295215,Augusta,United States,33.477444,-81.973006,1
17295028,Augusta,United States,33.481779,-81.965571,1
17294642,Augusta,United States,33.4086,-82.0327,1
17295109,Augusta,United States,33.478231,-81.974944,1
17294441,Augusta,United States,33.4827,-82.096,1
17294552,Augusta,United States,33.4778,-81.9721,1
17294565,Augusta,United States,33.4764,-81.9694,1
17294623,Augusta,United States,33.5133,-82.0505,1
17294712,Augusta,United States,33.4848,-82.0301,1
17295033,Augusta,United States,33.467201,-82.080788,1
17295069,Augusta,United States,33.5375868,-82.0805493,1
17294261,Augusta,United States,33.544342,-82.143793,1
17295115,Augusta,United States,33.532249,-82.126161,1
17294836,Augusta,United States,33.521291,-82.141284,1
17294850,Augusta,United States,33.5406,-82.1328,1
17294883,Augusta,United States,33.4574,-82.1997,1
16608864,Balingup,Australia,-33.7845269,115.9844924,3
16604911,Beechworth,Australia,-36.360439,146.685852,3
17303465,Boise,United States,43.6138,-116.2019,1
17303642,Boise,United States,43.616068,-116.203466,1
17303670,Boise,United States,43.6149,-116.2023,1
17303545,Boise,United States,43.6157,-116.2064,1
17303655,Boise,United States,43.614,-116.2031,1
