k,silhouette_score,inertia
3,0.9286139022414007,3136.571029527853
4,0.9313044958068486,2323.1162245927567
5,0.9128512714082997,1469.4311748177452
6,0.9207026910707149,838.9700569885347
7,0.9183288755227729,678.5693544104657
8,0.9169679323803557,537.4908534139478
9,0.9186078309410949,421.2276241749873
10,0.9231408080727229,333.1793761289521
